epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.401666,1.38122,0.25,1,1.53856,0,0,0
2,1.03241,1.4716,0.25,1,1.55511,1.24876e-05,1.24876e-05,1.24876e-05
3,1.48594,1.45398,0.25,1,1.55485,2.49505e-05,2.49505e-05,2.49505e-05
4,1.94429,1.45046,0.25,1,1.54514,3.73886e-05,3.73886e-05,3.73886e-05
5,2.37894,1.48251,0.25,1,1.53017,4.9802e-05,4.9802e-05,4.9802e-05
6,2.81276,1.40751,0.25,1,1.50308,6.21906e-05,6.21906e-05,6.21906e-05
7,3.24385,1.35725,0.5,1,1.47575,7.45545e-05,7.45545e-05,7.45545e-05
8,3.67238,1.42755,0.5,1,1.45935,8.68936e-05,8.68936e-05,8.68936e-05
9,4.1046,1.40779,0.5,1,1.43691,9.9208e-05,9.9208e-05,9.9208e-05
10,4.52154,1.3305,0.5,1,1.41669,0.000111498,0.000111498,0.000111498
11,4.96503,1.31044,0.5,1,1.39723,0.000123763,0.000123763,0.000123763
12,5.40158,1.2508,0.5,1,1.38699,0.000136003,0.000136003,0.000136003
13,5.84428,1.28692,0.5,1,1.36945,0.000148218,0.000148218,0.000148218
14,6.93003,1.21592,0.5,1,1.35159,0.000160409,0.000160409,0.000160409
15,7.37417,1.25241,0.5,1,1.32323,0.000172575,0.000172575,0.000172575
16,8.0306,1.18694,0.5,1,1.29333,0.000184716,0.000184716,0.000184716
17,9.37439,1.11885,0.5,1,1.26045,0.000196832,0.000196832,0.000196832
18,10.4651,1.09116,0.5,1,1.26045,0.000208924,0.000208924,0.000208924
19,11.2917,1.10572,0.5,1,1.21171,0.00022099,0.00022099,0.00022099
20,12.0073,1.14512,0.5,1,1.21171,0.000233033,0.000233033,0.000233033
21,12.7338,1.07218,0.5,1,1.15574,0.00024505,0.00024505,0.00024505
22,13.4075,0.98495,0.5,1,1.15574,0.000257043,0.000257043,0.000257043
23,14.0988,0.98858,0.5,1,1.09943,0.00026901,0.00026901,0.00026901
24,14.748,0.90218,0.5,1,1.09943,0.000280954,0.000280954,0.000280954
25,15.4285,0.99089,0.5,1,1.04344,0.000292872,0.000292872,0.000292872
26,16.112,0.87297,0.5,1,1.04344,0.000304766,0.000304766,0.000304766
27,16.7948,0.95214,0.5,1,0.97828,0.000316635,0.000316635,0.000316635
28,17.4353,0.87963,0.5,1,0.97828,0.000328479,0.000328479,0.000328479
29,18.1069,0.99165,0.5,1,0.90128,0.000340298,0.000340298,0.000340298
30,18.7215,0.75036,0.5,1,0.90128,0.000352093,0.000352093,0.000352093
31,19.3379,0.75432,0.75,1,0.83139,0.000363863,0.000363863,0.000363863
32,19.9463,0.70146,0.75,1,0.83139,0.000375608,0.000375608,0.000375608
33,20.5565,0.73809,1,1,0.76247,0.000387328,0.000387328,0.000387328
34,21.146,0.64302,1,1,0.76247,0.000399024,0.000399024,0.000399024
35,21.798,0.57463,1,1,0.68036,0.000410695,0.000410695,0.000410695
36,22.4285,0.47931,1,1,0.68036,0.000422341,0.000422341,0.000422341
37,23.0716,0.48098,1,1,0.599,0.000433962,0.000433962,0.000433962
38,23.6966,0.45848,1,1,0.599,0.000445559,0.000445559,0.000445559
39,24.3519,0.48387,1,1,0.52094,0.00045713,0.00045713,0.00045713
40,24.9874,0.50502,1,1,0.52094,0.000468678,0.000468678,0.000468678
41,25.6332,0.4932,1,1,0.4474,0.0004802,0.0004802,0.0004802
42,26.26,0.40857,1,1,0.4474,0.000491698,0.000491698,0.000491698
43,26.9426,0.39616,1,1,0.36927,0.000503171,0.000503171,0.000503171
44,27.5668,0.32414,1,1,0.36927,0.000514619,0.000514619,0.000514619
45,28.2091,0.25755,1,1,0.30764,0.000526042,0.000526042,0.000526042
46,28.8294,0.2457,1,1,0.30764,0.000537441,0.000537441,0.000537441
47,29.4764,0.31887,1,1,0.25137,0.000548815,0.000548815,0.000548815
48,30.0959,0.19755,1,1,0.25137,0.000560164,0.000560164,0.000560164
49,30.7539,0.25872,1,1,0.2037,0.000571488,0.000571488,0.000571488
50,31.3694,0.14395,1,1,0.2037,0.000582788,0.000582788,0.000582788
51,32.0264,0.1773,1,1,0.15192,0.000594062,0.000594062,0.000594062
52,32.6481,0.22222,1,1,0.15192,0.000605313,0.000605313,0.000605313
53,33.2626,0.12847,1,1,0.15192,0.000616538,0.000616538,0.000616538
54,33.9192,0.10291,1,1,0.11047,0.000627739,0.000627739,0.000627739
55,34.5193,0.07818,1,1,0.11047,0.000638914,0.000638914,0.000638914
56,35.1527,0.10368,1,1,0.11047,0.000650066,0.000650066,0.000650066
57,35.8063,0.09054,1,1,0.08326,0.000661192,0.000661192,0.000661192
58,36.4382,0.05668,1,1,0.08326,0.000672294,0.000672294,0.000672294
59,37.0592,0.15671,1,1,0.08326,0.000683371,0.000683371,0.000683371
60,37.6773,0.13736,1,1,0.05948,0.000694423,0.000694423,0.000694423
61,38.2855,0.06243,1,1,0.05948,0.00070545,0.00070545,0.00070545
62,38.9044,0.15972,1,1,0.05948,0.000716453,0.000716453,0.000716453
63,40.3243,0.07812,1,1,0.04803,0.00072743,0.00072743,0.00072743
64,40.9313,0.06511,1,1,0.04803,0.000738384,0.000738384,0.000738384
65,41.5639,0.05126,1,1,0.04803,0.000749312,0.000749312,0.000749312
66,42.2188,0.07184,1,1,0.04167,0.000760216,0.000760216,0.000760216
67,42.8216,0.05449,1,1,0.04167,0.000771095,0.000771095,0.000771095
68,43.5588,0.01866,1,1,0.04167,0.000781949,0.000781949,0.000781949
69,44.2028,0.06506,1,1,0.03308,0.000792778,0.000792778,0.000792778
70,44.8159,0.04703,1,1,0.03308,0.000803583,0.000803583,0.000803583
71,45.4056,0.03195,1,1,0.03308,0.000814362,0.000814362,0.000814362
72,46.0306,0.02438,1,1,0.02696,0.000825118,0.000825118,0.000825118
73,46.633,0.08926,1,1,0.02696,0.000835848,0.000835848,0.000835848
74,47.2408,0.01352,1,1,0.02696,0.000846554,0.000846554,0.000846554
75,47.8569,0.11466,1,1,0.02852,0.000857234,0.000857234,0.000857234
76,48.473,0.02873,1,1,0.02852,0.000867891,0.000867891,0.000867891
77,49.0892,0.01099,1,1,0.02852,0.000878522,0.000878522,0.000878522
78,49.7453,0.14366,1,1,0.0397,0.000889129,0.000889129,0.000889129
79,50.3581,0.00586,1,1,0.0397,0.000899711,0.000899711,0.000899711
80,50.9765,0.01108,1,1,0.0397,0.000910268,0.000910268,0.000910268
81,51.5922,0.09642,1,1,0.06848,0.0009208,0.0009208,0.0009208
82,52.1907,0.04544,1,1,0.06848,0.000931308,0.000931308,0.000931308
83,52.7873,0.00603,1,1,0.06848,0.000941791,0.000941791,0.000941791
84,53.4177,0.01961,1,1,0.09678,0.000952249,0.000952249,0.000952249
85,53.9994,0.0077,1,1,0.09678,0.000962682,0.000962682,0.000962682
86,54.6889,0.00329,1,1,0.09678,0.000973091,0.000973091,0.000973091
87,55.4028,0.00196,1,1,0.09678,0.000983474,0.000983474,0.000983474
88,56.1612,0.00592,1,1,0.12341,0.000993834,0.000993834,0.000993834
89,56.9276,0.00404,1,1,0.12341,0.00100417,0.00100417,0.00100417
90,57.6937,0.00541,1,1,0.12341,0.00101448,0.00101448,0.00101448
91,58.3357,0.00326,1,1,0.12341,0.00102476,0.00102476,0.00102476
92,59.1127,0.00382,1,1,0.14144,0.00103502,0.00103502,0.00103502
93,60.1771,0.01327,1,1,0.14144,0.00104526,0.00104526,0.00104526
94,63.0508,0.00586,1,1,0.14144,0.00105547,0.00105547,0.00105547
95,65.2595,0.01966,1,1,0.14144,0.00106565,0.00106565,0.00106565
96,67.2294,0.00336,1,1,0.15475,0.00107582,0.00107582,0.00107582
97,69.4272,0.00477,1,1,0.15475,0.00108595,0.00108595,0.00108595
98,70.5541,0.00261,1,1,0.15475,0.00109606,0.00109606,0.00109606
99,72.254,0.0142,1,1,0.15475,0.00110615,0.00110615,0.00110615
100,73.8025,0.0035,1,1,0.1581,0.00111621,0.00111621,0.00111621
101,74.7437,0.00221,1,1,0.1581,0.00112625,0.00112625,0.00112625
102,76.9986,0.01724,1,1,0.1581,0.00112501,0.00112501,0.00112501
103,78.4027,0.00122,1,1,0.1581,0.00112378,0.00112378,0.00112378
104,79.7653,0.01558,1,1,0.17389,0.00112254,0.00112254,0.00112254
105,80.5171,0.00589,1,1,0.17389,0.0011213,0.0011213,0.0011213
106,81.2076,0.01464,1,1,0.17389,0.00112006,0.00112006,0.00112006
107,81.8486,0.00078,1,1,0.17389,0.00111882,0.00111882,0.00111882
108,82.5168,0.00131,1,1,0.13541,0.00111759,0.00111759,0.00111759
109,83.1589,0.0017,1,1,0.13541,0.00111635,0.00111635,0.00111635
110,83.7908,0.01871,1,1,0.13541,0.00111511,0.00111511,0.00111511
111,84.4161,0.00233,1,1,0.13541,0.00111388,0.00111388,0.00111388
112,85.0644,0.00185,1,1,0.12118,0.00111264,0.00111264,0.00111264
113,85.6855,0.0014,1,1,0.12118,0.0011114,0.0011114,0.0011114
114,86.3833,0.06327,1,1,0.12118,0.00111016,0.00111016,0.00111016
115,87.0142,0.00038,1,1,0.12118,0.00110892,0.00110892,0.00110892
116,87.6462,0.0102,1,1,0.08237,0.00110769,0.00110769,0.00110769
117,89.2589,0.01314,1,1,0.08237,0.00110645,0.00110645,0.00110645
118,89.9098,0.00145,1,1,0.08237,0.00110521,0.00110521,0.00110521
119,90.566,0.0028,1,1,0.08237,0.00110397,0.00110397,0.00110397
120,91.2846,0.01491,1,1,0.03131,0.00110274,0.00110274,0.00110274
121,91.9529,0.00979,1,1,0.03131,0.0011015,0.0011015,0.0011015
122,92.5879,0.00278,1,1,0.03131,0.00110026,0.00110026,0.00110026
123,93.2272,0.00295,1,1,0.03131,0.00109903,0.00109903,0.00109903
124,93.9256,0.0005,1,1,0.02169,0.00109779,0.00109779,0.00109779
125,94.56,0.00563,1,1,0.02169,0.00109655,0.00109655,0.00109655
126,95.2109,0.0007,1,1,0.02169,0.00109531,0.00109531,0.00109531
127,95.869,0.00218,1,1,0.02169,0.00109408,0.00109408,0.00109408
128,96.5811,0.00157,1,1,0.01888,0.00109284,0.00109284,0.00109284
129,97.281,0.00256,1,1,0.01888,0.0010916,0.0010916,0.0010916
130,97.947,0.0002,1,1,0.01888,0.00109036,0.00109036,0.00109036
131,98.6661,0.00254,1,1,0.01888,0.00108913,0.00108913,0.00108913
132,99.3719,0.00041,1,1,0.01122,0.00108789,0.00108789,0.00108789
133,100.04,0.0003,1,1,0.01122,0.00108665,0.00108665,0.00108665
