epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.619698,1.38122,0.25,1,1.53856,0,0,0
2,2.0905,1.4716,0.25,1,1.55511,1.24876e-05,1.24876e-05,1.24876e-05
3,5.61715,1.45398,0.25,1,1.55485,2.49505e-05,2.49505e-05,2.49505e-05
4,7.4277,1.45046,0.25,1,1.54514,3.73886e-05,3.73886e-05,3.73886e-05
5,8.62128,1.48251,0.25,1,1.53017,4.9802e-05,4.9802e-05,4.9802e-05
6,9.69462,1.40751,0.25,1,1.50308,6.21906e-05,6.21906e-05,6.21906e-05
7,11.5063,1.35725,0.5,1,1.47575,7.45545e-05,7.45545e-05,7.45545e-05
8,12.5742,1.42755,0.5,1,1.45935,8.68936e-05,8.68936e-05,8.68936e-05
9,13.5707,1.40779,0.5,1,1.43691,9.9208e-05,9.9208e-05,9.9208e-05
10,14.5845,1.3305,0.5,1,1.41669,0.000111498,0.000111498,0.000111498
11,15.6149,1.31044,0.5,1,1.39723,0.000123763,0.000123763,0.000123763
12,16.7111,1.2508,0.5,1,1.38699,0.000136003,0.000136003,0.000136003
13,17.7406,1.28692,0.5,1,1.36945,0.000148218,0.000148218,0.000148218
14,18.761,1.21592,0.5,1,1.35159,0.000160409,0.000160409,0.000160409
15,19.7556,1.25241,0.5,1,1.32323,0.000172575,0.000172575,0.000172575
16,20.7639,1.18694,0.5,1,1.29333,0.000184716,0.000184716,0.000184716
17,21.7186,1.11885,0.5,1,1.26045,0.000196832,0.000196832,0.000196832
18,22.6496,1.09116,0.5,1,1.26045,0.000208924,0.000208924,0.000208924
19,23.6281,1.10572,0.5,1,1.21171,0.00022099,0.00022099,0.00022099
20,24.6089,1.14512,0.5,1,1.21171,0.000233033,0.000233033,0.000233033
21,25.6275,1.07218,0.5,1,1.15574,0.00024505,0.00024505,0.00024505
22,26.736,0.98495,0.5,1,1.15574,0.000257043,0.000257043,0.000257043
23,27.9168,0.98858,0.5,1,1.09943,0.00026901,0.00026901,0.00026901
24,29.1257,0.90218,0.5,1,1.09943,0.000280954,0.000280954,0.000280954
25,30.5019,0.99089,0.5,1,1.04344,0.000292872,0.000292872,0.000292872
26,32.216,0.87297,0.5,1,1.04344,0.000304766,0.000304766,0.000304766
27,33.2702,0.95214,0.5,1,0.97828,0.000316635,0.000316635,0.000316635
28,34.2514,0.87963,0.5,1,0.97828,0.000328479,0.000328479,0.000328479
29,35.2843,0.99165,0.5,1,0.90128,0.000340298,0.000340298,0.000340298
30,36.2634,0.75036,0.5,1,0.90128,0.000352093,0.000352093,0.000352093
31,37.3943,0.75432,0.75,1,0.83139,0.000363863,0.000363863,0.000363863
32,38.6175,0.70146,0.75,1,0.83139,0.000375608,0.000375608,0.000375608
33,39.8914,0.73809,1,1,0.76247,0.000387328,0.000387328,0.000387328
34,41.8111,0.64302,1,1,0.76247,0.000399024,0.000399024,0.000399024
35,42.9694,0.57463,1,1,0.68036,0.000410695,0.000410695,0.000410695
36,44.8349,0.47931,1,1,0.68036,0.000422341,0.000422341,0.000422341
37,45.8605,0.48098,1,1,0.599,0.000433962,0.000433962,0.000433962
38,46.8114,0.45848,1,1,0.599,0.000445559,0.000445559,0.000445559
39,47.8437,0.48387,1,1,0.52094,0.00045713,0.00045713,0.00045713
40,48.9432,0.50502,1,1,0.52094,0.000468678,0.000468678,0.000468678
41,50.1816,0.4932,1,1,0.4474,0.0004802,0.0004802,0.0004802
42,51.1576,0.40857,1,1,0.4474,0.000491698,0.000491698,0.000491698
43,52.1482,0.39616,1,1,0.36927,0.000503171,0.000503171,0.000503171
44,53.1135,0.32414,1,1,0.36927,0.000514619,0.000514619,0.000514619
45,54.1073,0.25755,1,1,0.30764,0.000526042,0.000526042,0.000526042
46,55.0156,0.2457,1,1,0.30764,0.000537441,0.000537441,0.000537441
47,55.9659,0.31887,1,1,0.25137,0.000548815,0.000548815,0.000548815
48,56.9058,0.19755,1,1,0.25137,0.000560164,0.000560164,0.000560164
49,57.8729,0.25872,1,1,0.2037,0.000571488,0.000571488,0.000571488
50,58.8107,0.14395,1,1,0.2037,0.000582788,0.000582788,0.000582788
51,59.8103,0.1773,1,1,0.15192,0.000594062,0.000594062,0.000594062
52,60.7715,0.22222,1,1,0.15192,0.000605313,0.000605313,0.000605313
53,61.7642,0.12847,1,1,0.15192,0.000616538,0.000616538,0.000616538
54,62.8003,0.10291,1,1,0.11047,0.000627739,0.000627739,0.000627739
55,63.7771,0.07818,1,1,0.11047,0.000638914,0.000638914,0.000638914
56,65.1928,0.10368,1,1,0.11047,0.000650066,0.000650066,0.000650066
57,67.0503,0.09054,1,1,0.08326,0.000661192,0.000661192,0.000661192
58,68.0581,0.05668,1,1,0.08326,0.000672294,0.000672294,0.000672294
59,69.6022,0.15671,1,1,0.08326,0.000683371,0.000683371,0.000683371
60,73.1104,0.13736,1,1,0.05948,0.000694423,0.000694423,0.000694423
61,74.2948,0.06243,1,1,0.05948,0.00070545,0.00070545,0.00070545
62,75.4523,0.15972,1,1,0.05948,0.000716453,0.000716453,0.000716453
63,76.5864,0.07812,1,1,0.04803,0.00072743,0.00072743,0.00072743
64,78.9457,0.06511,1,1,0.04803,0.000738384,0.000738384,0.000738384
65,80.4124,0.05126,1,1,0.04803,0.000749312,0.000749312,0.000749312
66,81.6759,0.07184,1,1,0.04167,0.000760216,0.000760216,0.000760216
67,82.7295,0.05449,1,1,0.04167,0.000771095,0.000771095,0.000771095
68,83.7741,0.01866,1,1,0.04167,0.000781949,0.000781949,0.000781949
69,85.0556,0.06506,1,1,0.03308,0.000792778,0.000792778,0.000792778
70,86.3734,0.04703,1,1,0.03308,0.000803583,0.000803583,0.000803583
71,87.8052,0.03195,1,1,0.03308,0.000814362,0.000814362,0.000814362
72,88.8401,0.02438,1,1,0.02696,0.000825118,0.000825118,0.000825118
73,89.8075,0.08926,1,1,0.02696,0.000835848,0.000835848,0.000835848
74,90.702,0.01352,1,1,0.02696,0.000846554,0.000846554,0.000846554
75,91.7413,0.11466,1,1,0.02852,0.000857234,0.000857234,0.000857234
76,92.9993,0.02873,1,1,0.02852,0.000867891,0.000867891,0.000867891
77,94.2709,0.01099,1,1,0.02852,0.000878522,0.000878522,0.000878522
78,96.4652,0.14366,1,1,0.0397,0.000889129,0.000889129,0.000889129
79,97.545,0.00586,1,1,0.0397,0.000899711,0.000899711,0.000899711
80,98.7567,0.01108,1,1,0.0397,0.000910268,0.000910268,0.000910268
81,99.823,0.09642,1,1,0.06848,0.0009208,0.0009208,0.0009208
82,100.874,0.04544,1,1,0.06848,0.000931308,0.000931308,0.000931308
83,101.881,0.00603,1,1,0.06848,0.000941791,0.000941791,0.000941791
84,102.936,0.01961,1,1,0.09678,0.000952249,0.000952249,0.000952249
85,103.962,0.0077,1,1,0.09678,0.000962682,0.000962682,0.000962682
86,104.984,0.00329,1,1,0.09678,0.000973091,0.000973091,0.000973091
87,106.026,0.00196,1,1,0.09678,0.000983474,0.000983474,0.000983474
88,107.031,0.00592,1,1,0.12341,0.000993834,0.000993834,0.000993834
89,108.004,0.00404,1,1,0.12341,0.00100417,0.00100417,0.00100417
90,108.974,0.00541,1,1,0.12341,0.00101448,0.00101448,0.00101448
91,109.941,0.00326,1,1,0.12341,0.00102476,0.00102476,0.00102476
92,111.906,0.00382,1,1,0.14144,0.00103502,0.00103502,0.00103502
93,112.869,0.01327,1,1,0.14144,0.00104526,0.00104526,0.00104526
94,113.861,0.00586,1,1,0.14144,0.00105547,0.00105547,0.00105547
95,114.878,0.01966,1,1,0.14144,0.00106565,0.00106565,0.00106565
96,115.888,0.00336,1,1,0.15475,0.00107582,0.00107582,0.00107582
97,116.887,0.00477,1,1,0.15475,0.00108595,0.00108595,0.00108595
98,117.868,0.00261,1,1,0.15475,0.00109606,0.00109606,0.00109606
99,118.9,0.0142,1,1,0.15475,0.00110615,0.00110615,0.00110615
100,120.051,0.0035,1,1,0.1581,0.00111621,0.00111621,0.00111621
101,120.994,0.00221,1,1,0.1581,0.00112625,0.00112625,0.00112625
102,121.906,0.01724,1,1,0.1581,0.00112501,0.00112501,0.00112501
103,122.832,0.00122,1,1,0.1581,0.00112378,0.00112378,0.00112378
104,123.762,0.01558,1,1,0.17389,0.00112254,0.00112254,0.00112254
105,124.738,0.00589,1,1,0.17389,0.0011213,0.0011213,0.0011213
106,125.7,0.01464,1,1,0.17389,0.00112006,0.00112006,0.00112006
107,127.261,0.00078,1,1,0.17389,0.00111882,0.00111882,0.00111882
108,128.383,0.00131,1,1,0.13541,0.00111759,0.00111759,0.00111759
109,129.378,0.0017,1,1,0.13541,0.00111635,0.00111635,0.00111635
110,130.417,0.01871,1,1,0.13541,0.00111511,0.00111511,0.00111511
111,131.422,0.00233,1,1,0.13541,0.00111388,0.00111388,0.00111388
112,132.45,0.00185,1,1,0.12118,0.00111264,0.00111264,0.00111264
113,133.462,0.0014,1,1,0.12118,0.0011114,0.0011114,0.0011114
114,134.497,0.06327,1,1,0.12118,0.00111016,0.00111016,0.00111016
115,135.457,0.00038,1,1,0.12118,0.00110892,0.00110892,0.00110892
116,136.496,0.0102,1,1,0.08237,0.00110769,0.00110769,0.00110769
117,137.483,0.01314,1,1,0.08237,0.00110645,0.00110645,0.00110645
118,138.474,0.00145,1,1,0.08237,0.00110521,0.00110521,0.00110521
119,139.415,0.0028,1,1,0.08237,0.00110397,0.00110397,0.00110397
120,140.426,0.01491,1,1,0.03131,0.00110274,0.00110274,0.00110274
121,141.366,0.00979,1,1,0.03131,0.0011015,0.0011015,0.0011015
122,142.317,0.00278,1,1,0.03131,0.00110026,0.00110026,0.00110026
123,143.239,0.00295,1,1,0.03131,0.00109903,0.00109903,0.00109903
124,144.224,0.0005,1,1,0.02169,0.00109779,0.00109779,0.00109779
125,146.136,0.00563,1,1,0.02169,0.00109655,0.00109655,0.00109655
126,147.122,0.0007,1,1,0.02169,0.00109531,0.00109531,0.00109531
127,148.055,0.00218,1,1,0.02169,0.00109408,0.00109408,0.00109408
128,149.082,0.00157,1,1,0.01888,0.00109284,0.00109284,0.00109284
129,150.067,0.00256,1,1,0.01888,0.0010916,0.0010916,0.0010916
130,151.017,0.0002,1,1,0.01888,0.00109036,0.00109036,0.00109036
131,151.988,0.00254,1,1,0.01888,0.00108913,0.00108913,0.00108913
132,153.058,0.00041,1,1,0.01122,0.00108789,0.00108789,0.00108789
133,154.071,0.0003,1,1,0.01122,0.00108665,0.00108665,0.00108665
134,155.11,0.00025,1,1,0.01122,0.00108541,0.00108541,0.00108541
135,156.076,0.00086,1,1,0.01122,0.00108417,0.00108417,0.00108417
136,157.138,0.00701,1,1,0.00886,0.00108294,0.00108294,0.00108294
137,158.083,0.0004,1,1,0.00886,0.0010817,0.0010817,0.0010817
