epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.16094,2.27427,0.09091,0.72727,2.25569,1.538e-05,1.538e-05,1.538e-05
2,2.87782,2.28509,0,0.72727,2.29068,3.84119e-05,3.84119e-05,3.84119e-05
3,3.98324,2.31536,0,0.54545,2.30333,6.13982e-05,6.13982e-05,6.13982e-05
4,5.19585,1.98346,0.18182,0.54545,2.29018,8.43388e-05,8.43388e-05,8.43388e-05
5,6.28954,2.03685,0.27273,0.72727,2.27257,0.000107234,0.000107234,0.000107234
6,7.33728,1.72395,0.27273,0.72727,2.25091,0.000130083,0.000130083,0.000130083
7,8.41457,1.6764,0.18182,0.72727,2.21153,0.000152886,0.000152886,0.000152886
8,9.61888,1.62336,0.27273,0.72727,2.20668,0.000175644,0.000175644,0.000175644
9,10.6972,1.54665,0.27273,0.63636,2.26507,0.000198356,0.000198356,0.000198356
10,11.8539,1.44164,0.27273,0.63636,2.27339,0.000221023,0.000221023,0.000221023
11,12.946,1.31904,0.27273,0.45455,2.31198,0.000243644,0.000243644,0.000243644
12,14.1871,1.03339,0.27273,0.45455,2.34242,0.000266219,0.000266219,0.000266219
13,15.3521,1.33955,0.27273,0.54545,2.46881,0.000288748,0.000288748,0.000288748
14,16.7165,1.06572,0.27273,0.45455,2.53452,0.000311232,0.000311232,0.000311232
15,20.5811,0.86003,0.27273,0.45455,2.65648,0.00033367,0.00033367,0.00033367
16,22.3189,0.69856,0.27273,0.45455,2.73042,0.000356063,0.000356063,0.000356063
17,23.8972,0.62141,0.27273,0.54545,2.87598,0.00037841,0.00037841,0.00037841
18,25.2806,0.52051,0.18182,0.54545,2.98575,0.000400711,0.000400711,0.000400711
19,27.2773,0.72928,0.18182,0.54545,3.13817,0.000422966,0.000422966,0.000422966
20,29.2386,0.61693,0.18182,0.63636,3.2298,0.000445176,0.000445176,0.000445176
21,30.5996,0.64337,0.18182,0.81818,3.38449,0.00046734,0.00046734,0.00046734
22,32.0497,0.51295,0.18182,0.72727,3.64488,0.000489458,0.000489458,0.000489458
23,33.6225,0.42967,0.18182,0.63636,3.96713,0.000511531,0.000511531,0.000511531
24,34.9799,0.47585,0.18182,0.63636,4.23164,0.000533558,0.000533558,0.000533558
25,36.3186,0.33074,0.18182,0.63636,4.52327,0.000555539,0.000555539,0.000555539
26,37.9437,0.2888,0.18182,0.63636,4.88537,0.000577475,0.000577475,0.000577475
27,39.2382,0.37004,0.18182,0.63636,5.27243,0.000599365,0.000599365,0.000599365
28,40.5452,0.20731,0.18182,0.54545,5.47894,0.000621209,0.000621209,0.000621209
29,42.1413,0.19047,0.18182,0.54545,5.47894,0.000643008,0.000643008,0.000643008
30,43.6905,0.2082,0.18182,0.54545,5.69067,0.000664761,0.000664761,0.000664761
31,45.0269,0.22027,0.18182,0.54545,5.88575,0.000686468,0.000686468,0.000686468
32,46.4008,0.13107,0.18182,0.72727,5.95107,0.000708129,0.000708129,0.000708129
33,48.0498,0.29312,0.18182,0.72727,5.95107,0.000729745,0.000729745,0.000729745
34,49.4686,0.11779,0.18182,0.72727,5.91458,0.000743877,0.000743877,0.000743877
35,51.3483,0.26434,0.18182,0.72727,6.1826,0.000743115,0.000743115,0.000743115
