epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.527684,1.38122,0.25,1,1.53856,0,0,0
2,1.80325,1.4716,0.25,1,1.55511,1.24988e-05,1.24988e-05,1.24988e-05
3,2.85112,1.45398,0.25,1,1.55485,2.49951e-05,2.49951e-05,2.49951e-05
4,3.88165,1.45045,0.25,1,1.54514,3.74889e-05,3.74889e-05,3.74889e-05
5,4.92362,1.48247,0.25,1,1.53015,4.99802e-05,4.99802e-05,4.99802e-05
6,6.10354,1.40744,0.25,1,1.50301,6.24691e-05,6.24691e-05,6.24691e-05
7,7.19945,1.35711,0.5,1,1.47562,7.49554e-05,7.49554e-05,7.49554e-05
8,8.23144,1.42731,0.5,1,1.45913,8.74394e-05,8.74394e-05,8.74394e-05
9,9.43344,1.40742,0.5,1,1.43659,9.99208e-05,9.99208e-05,9.99208e-05
10,10.4695,1.33002,0.5,1,1.41623,0.0001124,0.0001124,0.0001124
11,11.5188,1.30977,0.5,1,1.39662,0.000124876,0.000124876,0.000124876
12,12.5348,1.25,0.5,1,1.38619,0.00013735,0.00013735,0.00013735
13,14.1019,1.28565,0.5,1,1.36841,0.000149822,0.000149822,0.000149822
14,15.1699,1.21449,0.5,1,1.35026,0.000162291,0.000162291,0.000162291
15,16.2033,1.25064,0.5,1,1.32157,0.000174757,0.000174757,0.000174757
16,17.2458,1.18513,0.5,1,1.29126,0.000187222,0.000187222,0.000187222
17,18.2129,1.11616,0.5,1,1.2579,0.000199683,0.000199683,0.000199683
18,19.1612,1.08793,0.5,1,1.2579,0.000212142,0.000212142,0.000212142
19,20.2458,1.10318,0.5,1,1.20844,0.000224599,0.000224599,0.000224599
20,21.5542,1.14104,0.5,1,1.20844,0.000237053,0.000237053,0.000237053
21,22.7017,1.06876,0.5,1,1.15177,0.000249505,0.000249505,0.000249505
22,24.2678,0.98022,0.5,1,1.15177,0.000261954,0.000261954,0.000261954
23,25.4667,0.9844,0.5,1,1.09435,0.000274401,0.000274401,0.000274401
24,26.5163,0.89633,0.5,1,1.09435,0.000286845,0.000286845,0.000286845
25,27.497,0.98546,0.5,1,1.03726,0.000299287,0.000299287,0.000299287
26,28.427,0.86686,0.5,1,1.03726,0.000311727,0.000311727,0.000311727
27,29.3918,0.94534,0.5,1,0.97065,0.000324163,0.000324163,0.000324163
28,30.3414,0.87217,0.5,1,0.97065,0.000336598,0.000336598,0.000336598
29,31.3174,0.98471,0.5,1,0.89193,0.00034903,0.00034903,0.00034903
30,32.2686,0.74088,0.5,1,0.89193,0.000361459,0.000361459,0.000361459
31,33.254,0.74564,0.75,1,0.82055,0.000373886,0.000373886,0.000373886
32,34.1897,0.69205,0.75,1,0.82055,0.000386311,0.000386311,0.000386311
33,35.1683,0.72901,1,1,0.75015,0.000398733,0.000398733,0.000398733
34,36.1303,0.6317,1,1,0.75015,0.000411152,0.000411152,0.000411152
35,37.1602,0.56354,1,1,0.66646,0.000423569,0.000423569,0.000423569
36,38.1181,0.46712,1,1,0.66646,0.000435984,0.000435984,0.000435984
37,39.1627,0.46956,1,1,0.5836,0.000448396,0.000448396,0.000448396
38,40.1287,0.44661,1,1,0.5836,0.000460806,0.000460806,0.000460806
39,41.3077,0.47167,1,1,0.50374,0.000473213,0.000473213,0.000473213
40,42.3167,0.49157,1,1,0.50374,0.000485618,0.000485618,0.000485618
41,43.3573,0.48023,1,1,0.4289,0.00049802,0.00049802,0.00049802
42,44.3182,0.39546,1,1,0.4289,0.00051042,0.00051042,0.00051042
43,45.3512,0.38246,1,1,0.3506,0.000522817,0.000522817,0.000522817
44,46.8601,0.31081,1,1,0.3506,0.000535212,0.000535212,0.000535212
45,47.8764,0.2463,1,1,0.28971,0.000547604,0.000547604,0.000547604
46,48.8426,0.23216,1,1,0.28971,0.000559994,0.000559994,0.000559994
47,49.8742,0.30597,1,1,0.23417,0.000572381,0.000572381,0.000572381
48,50.8474,0.18368,1,1,0.23417,0.000584766,0.000584766,0.000584766
49,51.9177,0.24653,1,1,0.188,0.000597149,0.000597149,0.000597149
50,52.9173,0.13253,1,1,0.188,0.000609529,0.000609529,0.000609529
51,53.9829,0.16534,1,1,0.13813,0.000621906,0.000621906,0.000621906
52,54.9932,0.21208,1,1,0.13813,0.000634281,0.000634281,0.000634281
53,56.0159,0.12043,1,1,0.13813,0.000646654,0.000646654,0.000646654
54,57.0337,0.0939,1,1,0.09871,0.000659024,0.000659024,0.000659024
55,58.1101,0.06988,1,1,0.09871,0.000671391,0.000671391,0.000671391
56,59.2871,0.09414,1,1,0.09871,0.000683757,0.000683757,0.000683757
57,60.2964,0.08155,1,1,0.07322,0.000696119,0.000696119,0.000696119
58,61.2435,0.04981,1,1,0.07322,0.000708479,0.000708479,0.000708479
59,62.2307,0.14531,1,1,0.07322,0.000720837,0.000720837,0.000720837
60,63.2155,0.12341,1,1,0.05185,0.000733192,0.000733192,0.000733192
61,64.1739,0.05615,1,1,0.05185,0.000745545,0.000745545,0.000745545
62,65.1139,0.1551,1,1,0.05185,0.000757895,0.000757895,0.000757895
63,66.099,0.07147,1,1,0.04335,0.000770243,0.000770243,0.000770243
64,67.0428,0.05891,1,1,0.04335,0.000782588,0.000782588,0.000782588
